67.0,21.0,12.0,17.0,4035.0
67.0,21.0,12.0,17.0,4035.0
66.0,21.0,11.0,17.0,4035.0
65.0,21.0,11.0,17.0,3927.0
65.0,21.0,11.0,17.0,3904.0
65.0,21.0,11.0,17.0,3878.0
63.0,21.0,11.0,17.0,3833.0
63.0,21.0,11.0,17.0,3833.0
63.0,21.0,11.0,17.0,3778.0
62.0,21.0,10.0,16.0,3748.0
61.0,21.0,10.0,16.0,3748.0
61.0,21.0,10.0,16.0,3748.0
60.0,21.0,10.0,16.0,3748.0
60.0,21.0,10.0,16.0,3545.0
58.0,21.0,9.0,16.0,3454.0
56.0,21.0,9.0,16.0,3404.0
56.0,21.0,9.0,16.0,3358.0
55.0,21.0,9.0,16.0,3358.0
54.0,21.0,8.0,16.0,3358.0
54.0,22.0,8.0,16.0,3169.0
54.0,22.0,8.0,15.0,3123.0
54.0,22.0,8.0,15.0,3074.0
50.0,22.0,8.0,15.0,2975.0
50.0,22.0,7.0,15.0,2918.0
50.0,23.0,7.0,14.0,2918.0
50.0,23.0,7.0,14.0,2918.0
46.0,23.0,7.0,14.0,2652.0
46.0,23.0,6.0,14.0,2652.0
46.0,23.0,6.0,14.0,2522.0
41.0,23.0,6.0,14.0,2454.0
41.0,23.0,6.0,14.0,2319.0
41.0,23.0,6.0,14.0,2319.0
38.0,22.0,5.0,13.0,2200.0
37.0,23.0,5.0,13.0,2120.0
37.0,23.0,5.0,13.0,2053.0
34.0,23.0,5.0,13.0,1917.0
33.0,23.0,5.0,13.0,1850.0
33.0,23.0,5.0,13.0,1800.0
30.0,24.0,4.0,12.0,1659.0
30.0,24.0,4.0,12.0,1659.0
30.0,24.0,4.0,12.0,1659.0
27.0,24.0,4.0,12.0,1469.0
27.0,24.0,4.0,12.0,1390.0
27.0,25.0,3.0,12.0,1268.0
24.0,25.0,3.0,12.0,1193.0
22.0,25.0,3.0,11.0,1193.0
22.0,25.0,3.0,11.0,1077.0
19.0,25.0,2.0,11.0,1033.0
19.0,25.0,3.0,12.0,1033.0
17.0,25.0,3.0,11.0,864.0
16.0,27.0,3.0,11.0,841.0
16.0,28.0,3.0,11.0,841.0
13.0,28.0,3.0,11.0,736.0
13.0,31.0,3.0,11.0,732.0
13.0,34.0,4.0,12.0,732.0
10.0,38.0,4.0,12.0,690.0
9.0,41.0,4.0,13.0,677.0
9.0,43.0,4.0,12.0,677.0
9.0,43.0,4.0,12.0,701.0
6.0,43.0,3.0,12.0,728.0
6.0,43.0,3.0,11.0,797.0
6.0,41.0,3.0,12.0,790.0
5.0,40.0,3.0,12.0,790.0
5.0,23.0,3.0,12.0,747.0
