CAN init successful!
Runtime,RPM,Speed,Intake Temp,MAP,MAF,Throttle,Timing Advance,Demanded Torque
8.05,5729.00,86.00,28.00,95.00,109.00,89.00,25.00
8.15,5729.00,86.00,28.00,96.00,109.00,89.00,25.00
8.15,5729.00,89.00,28.00,96.00,112.00,89.00,25.00
8.15,5729.00,90.00,28.00,96.00,114.00,89.00,25.00
8.15,5879.00,90.00,28.00,96.00,114.00,89.00,25.00
8.15,5914.00,91.00,28.00,96.00,114.00,89.00,24.00
8.15,5914.00,91.00,28.00,96.00,114.00,89.00,24.00
8.73,5914.00,91.00,28.00,95.00,114.00,89.00,24.00
8.83,5914.00,91.00,93.00,96.00,114.00,89.00,24.00
8.92,5983.00,94.00,28.00,96.00,109.00,89.00,24.00
9.02,5983.00,94.00,28.00,96.00,109.00,89.00,24.00
9.02,5243.00,95.00,28.00,96.00,109.00,89.00,-3.00
9.22,4755.00,95.00,28.00,27.00,90.00,89.00,22.00
9.22,4755.00,95.00,27.00,27.00,81.00,89.00,22.00
9.41,4247.00,95.00,27.00,27.00,81.00,89.00,22.00
9.41,4247.00,97.00,27.00,97.00,84.00,89.00,22.00
9.41,4247.00,97.00,27.00,97.00,84.00,89.00,22.00
9.41,4338.00,97.00,27.00,97.00,86.00,89.00,22.00
9.41,4362.00,99.00,27.00,97.00,88.00,89.00,22.00
9.90,4376.00,99.00,27.00,97.00,86.00,89.00,22.00
9.99,4376.00,99.00,27.00,97.00,85.00,89.00,22.00
9.99,4413.00,99.00,27.00,97.00,85.00,89.00,22.00
9.99,4413.00,100.00,27.00,97.00,89.00,89.00,22.00
10.29,4449.00,101.00,27.00,98.00,88.00,89.00,22.00
10.29,4470.00,101.00,27.00,97.00,89.00,89.00,22.00
10.48,4470.00,101.00,27.00,97.00,89.00,89.00,22.00
10.58,4470.00,101.00,27.00,97.00,89.00,89.00,22.00
10.68,4523.00,102.00,27.00,97.00,91.00,89.00,22.00
10.68,4523.00,103.00,27.00,97.00,88.00,89.00,23.00
10.87,4557.00,104.00,27.00,97.00,88.00,89.00,23.00
10.87,4580.00,104.00,27.00,97.00,87.00,89.00,23.00
11.06,4598.00,104.00,27.00,97.00,90.00,89.00,23.00
11.06,4598.00,104.00,27.00,97.00,90.00,89.00,23.00
11.26,4629.00,105.00,27.00,97.00,90.00,89.00,23.00
11.36,4629.00,106.00,26.00,97.00,89.00,89.00,23.00
11.45,4666.00,106.00,26.00,97.00,89.00,89.00,23.00
11.55,4687.00,106.00,26.00,97.00,91.00,89.00,23.00
11.65,4702.00,107.00,26.00,97.00,91.00,89.00,23.00
11.75,4702.00,108.00,26.00,97.00,91.00,89.00,23.00
11.84,4702.00,108.00,26.00,97.00,93.00,89.00,24.00
11.94,4757.00,108.00,26.00,97.00,94.00,89.00,24.00
11.94,4775.00,108.00,26.00,97.00,94.00,89.00,24.00
12.14,4791.00,108.00,26.00,97.00,93.00,89.00,24.00
12.23,4806.00,108.00,26.00,97.00,95.00,89.00,24.00
12.33,4806.00,110.00,26.00,97.00,95.00,75.00,24.00
12.43,4806.00,110.00,26.00,96.00,96.00,69.00,24.00
12.53,4852.00,110.00,26.00,96.00,97.00,67.00,24.00
12.53,4870.00,111.00,26.00,96.00,96.00,68.00,24.00
12.72,4886.00,111.00,26.00,96.00,96.00,69.00,25.00
12.82,4899.00,111.00,26.00,96.00,96.00,70.00,25.00
12.82,4899.00,112.00,26.00,96.00,93.00,70.00,25.00
12.82,4899.00,113.00,26.00,96.00,95.00,70.00,25.00
13.11,4951.00,113.00,26.00,96.00,95.00,70.00,25.00
13.11,4968.00,113.00,26.00,97.00,97.00,68.00,25.00
13.31,4983.00,113.00,26.00,97.00,97.00,38.00,27.00
13.40,4983.00,113.00,26.00,49.00,97.00,19.00,27.00
13.50,4739.00,115.00,26.00,49.00,97.00,19.00,27.00
13.60,4739.00,114.00,26.00,49.00,15.00,18.00,39.00
13.60,4697.00,114.00,26.00,22.00,15.00,18.00,39.00
13.79,4710.00,114.00,26.00,21.00,14.00,18.00,40.00
13.89,4670.00,114.00,26.00,21.00,14.00,18.00,40.00
13.99,4670.00,114.00,26.00,21.00,14.00,18.00,40.00
14.08,4670.00,113.00,26.00,21.00,14.00,18.00,40.00
14.18,4577.00,113.00,26.00,21.00,14.00,18.00,40.00
14.18,4560.00,113.00,26.00,21.00,14.00,18.00,40.00
14.38,4550.00,112.00,26.00,21.00,14.00,18.00,40.00
14.47,4550.00,112.00,26.00,21.00,14.00,18.00,40.00
14.47,4525.00,112.00,26.00,21.00,14.00,18.00,40.00
14.67,4525.00,111.00,26.00,21.00,14.00,18.00,40.00
14.77,4497.00,111.00,26.00,21.00,13.00,18.00,40.00
14.77,4487.00,111.00,26.00,21.00,13.00,18.00,40.00
14.96,4487.00,110.00,26.00,21.00,13.00,18.00,41.00
14.96,4464.00,110.00,26.00,21.00,13.00,18.00,41.00
15.15,4464.00,110.00,26.00,21.00,13.00,18.00,41.00
15.15,4464.00,4445.00,26.00,21.00,13.00,18.00,41.00
15.35,4429.00,4445.00,26.00,21.00,13.00,18.00,41.00
15.35,4429.00,109.00,26.00,21.00,13.00,18.00,41.00
15.54,4405.00,109.00,26.00,21.00,13.00,18.00,41.00
15.64,4387.00,109.00,26.00,21.00,13.00,18.00,41.00
15.74,4387.00,108.00,26.00,21.00,13.00,18.00,41.00
15.84,4387.00,108.00,26.00,21.00,13.00,18.00,41.00
15.84,4358.00,108.00,26.00,21.00,13.00,18.00,41.00
15.84,4346.00,107.00,26.00,26.00,13.00,18.00,41.00
16.13,4329.00,107.00,26.00,26.00,13.00,18.00,41.00
16.23,4313.00,107.00,26.00,21.00,13.00,18.00,41.00
16.23,4306.00,106.00,26.00,21.00,13.00,18.00,41.00
16.42,4296.00,106.00,26.00,21.00,13.00,18.00,41.00
16.42,4281.00,106.00,26.00,21.00,13.00,18.00,41.00
16.62,4266.00,105.00,26.00,26.00,13.00,18.00,41.00
16.62,4266.00,105.00,26.00,21.00,13.00,18.00,41.00
16.81,4266.00,105.00,26.00,21.00,13.00,18.00,41.00
16.81,4239.00,105.00,26.00,21.00,13.00,-64.00,41.00
17.00,4227.00,104.00,26.00,21.00,13.00,18.00,41.00
17.00,4227.00,104.00,26.00,21.00,12.00,18.00,41.00
17.20,4205.00,104.00,26.00,21.00,12.00,18.00,41.00
17.20,4205.00,104.00,26.00,21.00,12.00,18.00,41.00
17.39,4177.00,103.00,26.00,21.00,12.00,-64.00,41.00
17.39,4177.00,103.00,26.00,21.00,12.00,18.00,41.00
17.39,4153.00,103.00,26.00,21.00,12.00,18.00,41.00
17.39,4153.00,103.00,26.00,21.00,12.00,18.00,41.00
17.78,4130.00,102.00,26.00,21.00,12.00,18.00,18.00
17.88,4124.00,102.00,26.00,21.00,12.00,18.00,41.00
17.98,4111.00,102.00,26.00,21.00,12.00,18.00,41.00
18.08,4111.00,101.00,26.00,21.00,12.00,18.00,41.00
18.17,4092.00,101.00,26.00,21.00,12.00,18.00,42.00
18.27,4079.00,101.00,26.00,21.00,12.00,18.00,42.00
18.37,4067.00,100.00,26.00,21.00,12.00,18.00,42.00
18.47,4057.00,100.00,26.00,21.00,12.00,17.00,42.00
18.56,4057.00,100.00,26.00,21.00,12.00,17.00,42.00
18.56,4033.00,100.00,26.00,21.00,12.00,17.00,42.00
18.76,4033.00,100.00,26.00,21.00,12.00,17.00,42.00
18.85,4011.00,99.00,26.00,21.00,12.00,17.00,42.00
18.85,4011.00,99.00,26.00,21.00,12.00,17.00,42.00
19.05,4011.00,-40.00,26.00,21.00,12.00,17.00,42.00
19.05,4011.00,98.00,26.00,21.00,11.00,17.00,42.00
19.24,4011.00,98.00,26.00,21.00,11.00,17.00,42.00
19.24,3955.00,98.00,26.00,21.00,12.00,17.00,42.00
19.24,3945.00,98.00,26.00,21.00,11.00,17.00,42.00
19.53,3935.00,98.00,26.00,21.00,11.00,17.00,42.00
19.53,3922.00,97.00,26.00,21.00,11.00,17.00,42.00
19.73,3913.00,97.00,26.00,21.00,11.00,17.00,42.00
19.83,3913.00,97.00,26.00,21.00,11.00,17.00,42.00
19.92,3890.00,97.00,26.00,21.00,11.00,17.00,42.00
19.92,3890.00,96.00,26.00,21.00,11.00,17.00,42.00
20.12,3872.00,96.00,26.00,21.00,11.00,17.00,42.00
20.12,3872.00,96.00,26.00,21.00,11.00,17.00,42.00
20.12,3852.00,95.00,26.00,21.00,11.00,17.00,42.00
20.41,3852.00,95.00,95.00,21.00,11.00,17.00,42.00
20.51,3829.00,95.00,26.00,21.00,11.00,17.00,42.00
20.51,3829.00,95.00,26.00,21.00,11.00,17.00,42.00
20.70,3803.00,94.00,26.00,21.00,11.00,17.00,43.00
20.80,3796.00,94.00,26.00,26.00,11.00,17.00,43.00
20.90,3786.00,94.00,26.00,21.00,10.00,17.00,43.00
21.00,3786.00,94.00,26.00,21.00,11.00,17.00,43.00
21.09,3765.00,3773.00,27.00,21.00,10.00,17.00,43.00
21.09,3754.00,3773.00,27.00,27.00,10.00,17.00,43.00
21.29,3743.00,93.00,27.00,21.00,10.00,17.00,43.00
21.39,3743.00,93.00,93.00,21.00,10.00,16.00,43.00
21.39,3698.00,92.00,27.00,21.00,10.00,16.00,43.00
21.58,3675.00,92.00,27.00,21.00,10.00,16.00,43.00
21.68,3652.00,92.00,27.00,21.00,10.00,16.00,43.00
21.77,3628.00,91.00,27.00,27.00,10.00,16.00,43.00
21.87,3628.00,90.00,27.00,22.00,10.00,16.00,43.00
21.97,3628.00,89.00,27.00,22.00,10.00,16.00,43.00
22.07,3628.00,89.00,27.00,21.00,10.00,16.00,43.00
22.17,3572.00,89.00,27.00,21.00,10.00,16.00,43.00
